,emoji,count
1248,🎳,2407
821,🚿,2379
823,🥗,2364
956,📕,2341
1221,🌪️,2332
827,🦑,2304
857,🇺🇬,2281
582,🎡,2276
962,🕐,2274
730,🚴,2235
384,👃,2230
986,🇵🇱,2228
915,🚓,2227
870,🕖,2226
1209,🐖,2225
920,❇️,2219
723,🇨🇴,2202
844,🐁,2189
651,🔀,2187
963,👜,2183
1073,💽,2163
370,♈,2117
852,🥜,2113
1074,🥝,2112
707,👒,2108
1139,📁,2097
941,🏴󠁧󠁢󠁷󠁬󠁳󠁿,2092
1232,🅾️,2091
525,🔬,2089
841,🇵🇪,2086
1056,🚢,2080
866,🇳🇿,2076
199,🧔,2045
614,🚪,2043
1025,⬜,2039
397,🙆‍♀️,2037
1184,🐂,2028
696,🗻,2023
1102,🔦,2021
1034,👚,1998
279,🛰️,1990
1080,®️,1980
1390,🥌,1972
967,🛒,1967
991,🇻🇳,1964
499,🌇,1954
1109,⛪,1953
735,🎋,1946
1016,🇸🇦,1942
463,♒,1920
102,〰️,1908
553,👪,1898
909,🙇‍♀️,1893
565,😾,1884
579,🇱🇷,1879
1004,🇸🇬,1851
792,🦂,1848
1031,🏄‍♀️,1836
1115,💶,1824
746,🇫🇮,1823
479,🍤,1815
360,Ⓜ️,1811
483,📶,1807
593,🥔,1806
949,🍖,1796
923,🥒,1789
1441,🇧🇴,1777
692,🌯,1772
641,📂,1755
606,🇩🇰,1733
612,🧘,1727
774,🏋️‍♂️,1727
974,🆔,1719
529,🦕,1711
459,♌,1702
1123,🚁,1677
1141,📛,1674
1097,🍮,1668
822,🕛,1668
717,🕹️,1645
1124,❔,1636
490,🏫,1636
872,🕘,1629
1194,🥥,1623
1103,🍚,1618
1177,🛁,1613
395,☯️,1605
1288,⚙️,1585
371,♐,1584
1128,🌰,1575
1383,🧤,1573
72,📘,1568
921,🤵,1566
571,◼️,1556
709,ℹ️,1556
1260,🥦,1540
1106,🥘,1538
1196,🚍,1533
825,🇦🇪,1520
1183,🚜,1509
834,⚕️,1508
1249,🇹🇿,1505
1148,🇨🇿,1495
1185,🙆‍♂️,1485
899,☣️,1484
934,🔖,1476
1059,🧟‍♂️,1467
583,🎢,1465
434,🦃,1450
897,🥧,1431
742,🦏,1426
697,✉️,1421
814,🙎,1414
885,♋,1398
551,🏦,1397
787,🇿🇼,1394
688,🌧️,1388
1038,🔲,1386
806,💴,1385
985,♿,1380
777,🚴‍♀️,1380
471,🛀,1375
1266,🎠,1370
1192,🌨️,1363
1222,👞,1363
1137,🏟️,1362
880,📄,1358
1412,🕝,1352
892,⌨️,1348
1246,🇮🇸,1336
952,📙,1336
977,🇦🇹,1333
1095,📜,1332
1098,♓,1329
682,📗,1329
763,📬,1325
1360,👛,1323
1395,🇦🇫,1322
549,🥩,1322
1084,🥪,1321
713,🔉,1315
1370,🇪🇨,1310
382,🇨🇮,1303
1134,🚛,1298
508,🕷️,1279
757,🚽,1277
725,🇺🇾,1264
803,🔧,1263
430,📃,1261
929,🐪,1261
741,⛈️,1252
458,🙍,1251
853,🥐,1239
976,🙅‍♂️,1236
552,📥,1221
865,🇹🇹,1213
1359,🎴,1209
807,🌶️,1200
1142,🇧🇩,1199
754,🥖,1186
461,♉,1185
813,↙️,1179
750,📮,1171
396,🥋,1170
1371,⛺,1164
1068,🚺,1164
462,♊,1153
1125,🚶‍♂️,1139
930,📯,1135
1323,↕️,1134
946,🗼,1134
890,♏,1131
832,🧚‍♀️,1126
1214,🍛,1125
1471,🚟,1124
1075,🎍,1124
1167,🐿️,1121
704,🔳,1119
1311,👳,1109
254,🇸🇾,1107
1225,📿,1106
661,🦐,1104
902,🇭🇷,1101
1043,💹,1090
1045,🏺,1083
1307,💱,1080
1026,👮‍♂️,1079
752,💂,1078
1111,🇻🇪,1076
1292,🆎,1066
680,🦒,1058
1210,🕔,1055
848,🇭🇺,1055
600,🍱,1055
898,🌉,1052
1019,🎐,1038
656,🍙,1028
630,🌂,1021
1205,🏥,1020
994,🇧🇭,1020
1373,🔭,1019
1270,🦔,1010
1067,🚄,1009
954,📓,1007
811,🎏,1004
1127,🏋️‍♀️,1002
833,🧜‍♀️,1001
914,🕋,998
893,🖱️,992
783,↩️,986
1101,🕗,983
460,♎,979
1269,🗝️,978
1285,🤼‍♂️,972
1199,🛡️,971
1049,🤱,971
886,🏢,970
1113,🏎️,969
1198,🕵️,961
843,🇨🇺,960
961,🏵️,953
493,🇲🇦,946
1244,👨‍🎨,945
1014,🇵🇾,940
1335,🎿,940
1112,👨‍👩‍👧‍👦,938
815,🖐️,935
904,🕶️,933
1353,👨‍👨‍👦,929
683,💁‍♂️,920
1079,🔯,920
1321,🇩🇿,917
1300,⏲️,914
984,🐃,908
1121,⛸️,906
1237,👨‍🍳,903
1087,🇺🇲,896
1090,🚆,896
955,📒,890
1265,🇺🇦,885
1058,🥣,877
869,↔️,874
795,🧛,870
1268,🙇‍♂️,867
1273,🕜,864
873,🎞️,860
906,👷,857
482,🎦,856
816,✡️,853
1264,🧣,841
1358,➿,835
1241,👮‍♀️,831
718,🏑,830
282,🐫,824
1189,🤸‍♀️,823
856,📧,815
1181,🇨🇷,814
1382,🛩️,807
1458,👨‍🎤,806
981,🖌️,806
1242,🕓,803
1133,🏌️,796
1291,🚐,792
1238,🕵️‍♂️,789
1245,🇵🇦,787
882,⛲,782
978,⛰️,781
556,👯‍♂️,781
1083,🚅,776
523,🏄‍♂️,774
1091,🚋,773
925,⏺️,771
831,🏩,768
983,📏,768
1018,⤴️,768
1186,🏛️,763
1155,🇾🇪,761
1135,🏊‍♂️,759
657,🍘,753
879,🏴‍☠️,750
197,🇮🇷,750
1050,🧑,749
603,🧞‍♂️,749
953,📔,743
1036,🇲🇨,737
178,🏌️‍♂️,733
1164,🎎,732
1234,🖇️,730
1006,🇸🇴,727
788,🇸🇳,724
1226,🚴‍♂️,724
1231,🏍️,723
1092,🚇,721
1193,🧟‍♀️,721
1290,👨‍👩‍👧,715
1286,⏯️,714
1308,🕸️,712
1316,🏪,712
