,emoji,count,polarity,subjectivity,position
182,🖕,33568,-0.031785423280423795,0.3606357682165103,0.7887583483691792
183,💟,33466,0.42278885032537483,0.3710867994709792,0.713390119027946
184,😮,33253,0.16687206207483032,0.27066408111070467,0.7680626278772563
185,💩,33097,0.04299457887517129,0.308153236056183,0.6841983185599341
186,🇳🇬,32764,0.20862510550996605,0.23315063681076972,0.5976721201139015
187,🏁,32698,0.23480694958288176,0.2985906170127781,0.657533736022364
188,⏰,32680,0.25617809872029595,0.27855364164086227,0.47661577270382505
189,🇬🇧,32255,0.2996697054850026,0.28573443487075356,0.5947986923466672
190,🌴,31929,0.3435822679860924,0.2725306358450177,0.701189991680528
191,💣,31793,0.13154184665226953,0.24247004670785122,0.6063884405604854
192,🐐,31436,0.28918782645803837,0.2640569538761105,0.74193339661678
193,💍,31365,0.4215812990762128,0.3714609186471625,0.7479771492230353
194,🌿,31129,0.4352185533316415,0.37586546466333126,0.6908968892598787
195,🔞,30447,0.20299723595505656,0.38773504061624453,0.5983968907562975
196,🐱,30345,0.36721427765843273,0.3397606624134646,0.7032327840369254
197,🍾,30126,0.42177969220087863,0.3941660028109576,0.7369381180604433
198,📍,30024,0.15919336070959397,0.20738811034147625,0.5169212698991402
199,🍆,29908,0.1567291176470591,0.31916290366517874,0.7351481723625556
